Ntriples,Ntrials,Mean Query2(ms), Std Query2(ms), Nres Query2,Mean Query3(ms), Std Query3(ms), Nres Query3,Mean Query4(ms), Std Query4(ms), Nres Query4,Mean Query5(ms), Std Query5(ms), Nres Query5,Mean Query6(ms), Std Query6(ms), Nres Query6,Mean Query7(ms), Std Query7(ms), Nres Query7
44415,10,4.50,0.92,16,5.00,1.10,16,1.40,0.49,4,2239.90,605.54,2,2029.80,429.79,10,169.50,23.67,10
45397,10,3.30,0.64,16,4.00,0.45,16,1.20,0.40,4,2027.00,321.83,2,2036.40,445.45,10,172.70,26.10,10
46340,10,2.80,0.60,16,3.40,0.92,16,1.50,0.50,4,1997.70,320.90,2,2086.10,463.99,10,179.90,18.54,10
47342,10,2.80,0.40,16,2.70,0.64,16,1.20,0.60,4,2117.40,406.57,2,2260.50,546.66,10,189.60,21.80,10
48363,10,4.50,0.67,16,4.30,0.46,16,1.60,0.49,4,2149.50,267.69,2,2155.10,405.86,10,331.20,394.57,10
49377,10,3.00,0.45,16,3.20,0.75,16,1.00,0.45,4,2202.70,289.06,2,2258.00,403.74,10,178.90,27.05,10
50354,10,4.30,0.78,16,3.10,0.94,16,1.80,0.60,4,2297.00,574.65,2,2306.10,425.17,10,161.60,34.35,10
51354,10,5.30,0.64,16,4.00,0.77,16,1.50,0.67,4,2252.40,308.47,2,2295.80,575.16,10,185.00,24.77,10
52377,10,37.20,98.27,16,4.50,0.67,16,1.50,0.50,4,2246.60,370.61,2,2386.20,551.69,10,189.40,33.10,10
53350,10,4.20,0.60,16,4.80,0.60,16,1.40,0.49,4,2213.30,344.36,2,2416.30,533.22,10,189.00,26.38,10
54287,10,4.30,0.64,16,3.10,0.94,16,1.40,0.49,4,2206.50,342.39,2,2425.10,539.38,10,197.70,29.89,10
55258,10,4.30,0.46,16,4.30,0.46,16,1.30,0.46,4,2266.00,216.83,2,2463.60,503.52,10,190.40,31.76,10
56237,10,3.40,0.92,16,3.40,1.02,16,1.20,0.40,4,2283.70,357.81,2,2541.40,601.78,10,194.50,36.53,10
57205,10,4.50,0.92,16,8.40,16.21,16,0.90,0.30,4,2396.70,365.25,2,2491.70,572.25,10,186.80,23.21,10
58190,10,4.00,0.77,16,4.00,0.77,16,1.30,0.46,4,2318.80,441.17,2,2512.60,569.56,10,192.70,22.38,10
59155,10,2.90,0.54,16,3.90,0.94,16,1.20,0.40,4,2414.60,499.74,2,2474.90,370.46,10,194.10,24.68,10
60090,10,4.00,0.45,16,4.20,0.98,16,1.00,0.45,4,2502.00,494.77,2,2414.90,400.86,10,185.20,30.47,10
61047,10,3.30,0.78,16,3.80,0.60,16,1.20,0.40,4,2375.50,316.63,2,2520.70,659.16,10,189.70,32.37,10
62046,10,4.20,0.75,16,3.20,0.60,16,1.00,0.45,4,2394.70,304.04,2,2570.60,575.86,10,207.70,31.48,10
62995,10,4.40,0.49,16,4.10,0.83,16,1.00,0.45,4,2391.50,405.20,2,2631.60,541.31,10,198.40,31.51,10
63924,10,4.90,1.04,16,4.40,0.66,16,1.30,0.46,4,2572.40,506.49,2,2463.60,474.44,10,181.00,30.31,10
64878,10,3.80,0.87,16,4.50,0.67,16,1.40,0.49,4,2525.30,516.61,2,2434.80,432.29,10,339.00,430.53,10
65819,10,4.30,0.46,16,3.80,0.87,16,1.60,0.66,4,2389.80,179.92,2,2621.10,527.14,10,194.50,37.77,10
66807,10,4.60,0.66,16,3.60,0.66,16,1.40,0.66,4,2718.80,526.70,2,2499.20,415.45,10,186.50,32.27,10
67794,10,4.20,0.98,16,3.60,0.80,16,1.40,0.49,4,2480.00,287.81,2,2588.20,572.98,10,208.30,25.64,10
68730,10,4.10,0.94,16,4.10,1.04,16,1.10,0.30,4,2632.10,516.96,2,2547.60,384.04,10,201.40,33.56,10
69682,10,3.90,0.94,16,9.50,15.85,16,1.10,0.30,4,2550.10,281.44,2,2667.70,554.19,10,191.50,25.76,10
70651,10,2.20,0.40,16,2.70,0.78,16,1.40,0.49,4,2708.70,527.22,2,2602.50,359.96,10,322.70,430.32,10
71637,10,4.00,0.63,16,4.40,0.66,16,1.20,0.40,4,2570.60,293.32,2,2682.40,582.74,10,189.50,22.36,10
72601,10,3.20,0.40,16,4.60,0.66,16,1.30,0.46,4,2613.40,393.79,2,2738.10,594.50,10,181.80,20.42,10
73603,10,4.20,0.60,16,3.10,0.30,16,1.30,0.46,4,2723.50,491.78,2,2705.80,563.58,10,186.30,28.18,10
74580,10,4.00,1.10,16,2.50,0.67,16,1.20,0.60,4,2684.20,487.70,2,2769.20,611.78,10,220.90,16.01,10
75534,10,2.50,0.50,16,2.60,0.49,16,0.90,0.54,4,2718.40,646.06,2,2641.40,366.38,10,330.90,381.75,10
76489,10,3.90,0.94,16,4.10,0.94,16,1.10,0.30,4,2635.80,272.45,2,2833.90,602.13,10,331.20,425.20,10
77434,10,4.30,0.46,16,4.50,0.81,16,1.00,0.45,4,2788.40,612.74,2,2627.90,373.43,10,298.00,392.56,10
78435,10,4.00,0.77,16,3.70,0.78,16,1.10,0.30,4,2604.70,268.39,2,2847.30,644.35,10,324.70,369.18,10
79415,10,2.70,0.46,16,2.40,0.49,16,0.90,0.30,4,2830.80,527.17,2,2803.50,526.55,10,178.90,27.52,10
80434,10,4.00,0.45,16,4.10,0.94,16,1.20,0.40,4,2818.80,493.08,2,2900.10,568.30,10,179.00,28.94,10
81369,10,4.70,0.64,16,5.10,0.30,16,1.60,0.66,4,2830.80,561.31,2,2770.50,512.03,10,176.70,17.98,10
82359,10,4.20,0.98,16,4.70,0.64,16,1.20,0.60,4,2795.70,477.21,2,2853.00,580.26,10,187.40,32.34,10
83326,10,4.50,0.67,16,3.70,0.78,16,7.40,17.54,4,2895.40,566.13,2,2817.40,457.98,10,189.40,24.54,10
84293,10,4.00,0.63,16,3.90,0.54,16,1.30,0.46,4,2785.20,529.00,2,3011.90,593.71,10,193.60,37.63,10
85261,10,3.30,1.10,16,3.60,1.02,16,1.00,0.45,4,2859.60,464.10,2,2980.60,586.11,10,182.90,32.22,10
86218,10,3.30,0.64,16,4.30,0.46,16,1.10,0.30,4,2959.20,668.08,2,2805.10,518.81,10,187.10,25.28,10
87181,10,4.30,0.78,16,4.00,0.45,16,1.50,0.50,4,2844.10,536.98,2,2945.10,475.25,10,328.90,384.26,10
88160,10,3.90,0.83,16,3.30,0.64,16,0.80,0.40,1,2933.20,583.38,2,2923.60,486.91,10,203.00,39.44,10
89123,10,1.40,0.49,1,4.30,0.46,16,1.40,0.49,4,2948.80,577.59,2,2955.70,493.09,10,199.50,33.64,10
90098,10,3.40,0.66,16,1.40,0.49,1,1.10,0.30,4,2893.40,511.53,2,3131.50,529.69,10,198.30,38.19,10
91089,10,4.30,1.00,16,4.00,1.10,16,1.00,0.00,4,2962.00,579.19,2,2926.10,450.46,10,297.40,359.97,10
92049,10,4.50,0.67,16,10.50,18.18,16,1.40,0.49,4,2999.20,495.11,2,2935.70,517.97,10,298.00,352.87,10
93015,10,3.90,1.14,16,3.90,0.70,16,1.50,0.67,4,3085.20,550.82,2,3140.90,500.49,10,208.00,31.50,10
94028,10,3.90,0.70,16,3.60,0.66,16,1.40,0.49,4,2946.70,511.20,2,3117.00,610.54,10,218.10,28.32,10
95003,10,4.00,0.63,16,4.30,0.78,16,1.30,0.46,4,3075.70,500.33,2,3177.00,490.23,10,189.50,26.20,10
95972,10,3.30,0.78,16,1.00,0.45,1,1.10,0.54,4,3070.40,510.09,1,3137.10,623.57,10,191.60,41.69,10
96937,10,4.90,0.70,16,3.90,0.83,16,0.90,0.30,4,2947.00,573.70,2,3213.70,611.58,10,188.90,44.16,10
97879,10,3.90,0.30,16,1.20,0.75,1,1.00,0.45,4,3179.70,526.39,2,3063.60,530.91,10,210.50,50.90,10
98819,10,4.10,0.70,16,3.70,0.64,16,1.20,0.40,4,3094.50,509.66,1,3198.50,539.45,10,193.10,33.95,10
99763,10,3.70,0.64,16,4.50,0.81,16,1.30,0.46,4,3213.00,600.93,2,3099.60,457.32,10,332.60,391.34,10
100696,10,4.40,0.80,16,1.10,0.30,1,1.50,0.67,4,3176.20,556.82,1,3198.30,614.15,10,193.30,20.77,10
