Ntriples,Ntrials,Mean Query2(ms), Std Query2(ms), Nres Query2,Mean Query3(ms), Std Query3(ms), Nres Query3,Mean Query4(ms), Std Query4(ms), Nres Query4,Mean Query5(ms), Std Query5(ms), Nres Query5,Mean Query6(ms), Std Query6(ms), Nres Query6,Mean Query7(ms), Std Query7(ms), Nres Query7
727814,10,6.70,13.44,16,2.90,0.70,16,1.30,0.46,1,1834.80,623.00,1,1752.80,466.81,10,53.00,19.60,10
728772,10,6.20,12.61,16,1.90,0.30,16,0.80,0.40,1,1419.10,41.56,2,1642.40,447.02,10,41.00,6.48,10
729736,10,5.80,11.40,16,1.80,0.75,16,0.70,0.46,4,1387.40,44.67,2,1724.00,399.08,10,48.40,14.24,10
730680,10,4.90,10.04,16,1.80,0.40,16,1.00,0.00,4,1567.80,392.17,2,2259.50,600.43,10,54.70,29.33,10
731640,10,5.30,10.57,16,1.00,0.00,1,0.60,0.49,1,2020.50,603.92,1,2218.30,597.47,10,48.20,20.68,10
732625,10,4.80,9.08,16,2.10,0.30,16,1.10,0.30,4,1995.30,608.63,2,1957.90,548.38,10,57.70,25.22,10
733598,10,5.00,9.67,16,2.10,0.54,16,7.20,19.27,1,1487.20,82.54,2,1732.10,419.18,10,48.70,3.44,10
734589,10,4.60,10.47,1,1.80,0.40,16,1.20,0.40,4,1474.30,113.72,2,1712.70,402.18,10,59.30,17.60,10
735542,10,5.60,10.82,16,1.80,0.60,16,1.00,0.45,4,1439.80,60.46,2,2202.80,680.45,10,43.70,9.24,10
736482,10,5.90,9.72,16,2.70,0.64,16,1.20,0.40,4,1925.60,586.00,2,2240.10,637.15,10,69.00,55.25,10
737480,10,6.00,12.67,16,1.20,0.40,1,0.90,0.30,4,1985.40,587.02,2,2157.00,704.28,10,44.20,17.47,10
738461,10,4.90,9.04,16,2.00,0.00,16,1.00,0.45,4,1807.70,552.04,2,1560.10,55.14,10,52.70,13.39,10
739431,10,7.40,17.21,16,0.80,0.40,1,0.70,0.46,4,1373.70,50.66,1,1664.80,396.27,10,52.40,17.33,10
740347,10,4.90,9.39,16,0.90,0.30,1,0.90,0.54,4,1609.00,411.49,2,1519.20,38.58,10,53.30,23.79,10
741322,10,5.10,9.65,16,1.10,0.30,1,1.20,0.40,4,2218.90,884.66,1,2120.30,620.44,10,60.10,37.15,10
742329,10,5.10,9.30,16,1.20,0.40,1,1.10,0.30,4,2039.20,625.56,2,2181.20,614.29,10,70.40,47.96,10
743295,10,4.10,8.97,1,2.20,0.40,16,0.90,0.30,4,2083.40,727.11,1,1739.40,392.69,10,51.10,18.25,10
744280,10,5.10,8.98,16,2.00,0.45,16,1.10,0.30,4,1545.60,414.13,2,1519.80,75.77,10,46.10,4.68,10
745229,10,5.10,8.64,16,2.10,1.70,1,1.30,0.46,1,1636.80,398.67,2,1557.80,24.83,10,52.30,15.06,10
746193,10,5.70,10.80,16,5.70,11.11,16,0.90,0.54,1,1897.90,702.76,2,1991.90,583.00,10,62.80,33.20,10
747144,10,5.30,12.90,1,2.40,0.49,16,0.80,0.40,1,2045.80,712.47,1,2212.70,570.32,10,70.80,48.51,10
748104,10,5.10,9.30,16,1.80,0.40,16,0.90,0.30,1,1988.10,627.54,2,2011.80,611.62,10,33.30,5.92,10
749040,10,4.20,8.94,1,8.20,19.61,16,1.00,0.45,1,1429.40,32.67,2,1646.60,433.16,10,45.30,4.98,10
749992,10,5.10,9.65,16,1.10,0.30,1,0.60,0.49,1,1688.50,411.21,2,1571.90,35.66,10,51.40,16.68,10
750964,10,4.30,9.57,1,6.00,12.00,16,1.00,0.45,4,1553.90,394.09,2,1903.70,614.52,10,55.60,17.84,10
751930,10,6.00,12.34,16,1.80,0.40,16,0.90,0.30,4,2039.40,622.16,1,2202.60,625.46,10,72.20,47.65,10
752876,10,5.70,10.44,16,2.10,0.30,16,1.10,0.30,4,2170.50,683.34,2,2260.80,602.16,10,65.90,34.49,10
753837,10,6.80,11.75,16,2.20,0.40,16,1.20,0.40,1,1955.60,624.86,2,1715.90,406.03,10,51.70,19.84,10
754748,10,7.20,16.28,16,1.20,0.40,1,0.90,0.30,4,1591.70,412.34,2,1574.60,70.80,10,54.60,14.40,10
755705,10,4.90,9.05,16,5.50,13.50,1,0.80,0.40,1,1554.00,440.70,2,1551.80,32.59,10,43.60,4.88,10
756672,10,4.60,8.14,16,1.40,0.49,16,0.70,0.46,1,2015.60,621.43,2,2210.60,664.94,10,55.90,33.01,10
757644,10,5.30,9.26,16,1.70,0.46,16,0.90,0.30,1,1869.90,582.10,2,2240.10,647.52,10,56.10,36.32,10
758654,10,4.90,9.04,16,1.20,0.40,1,1.10,0.30,4,1896.40,515.02,2,1724.80,562.24,10,43.90,4.85,10
759631,10,5.00,9.01,16,1.80,0.60,16,0.80,0.40,4,1544.30,405.24,1,1601.70,114.75,10,50.90,17.56,10
760574,10,5.70,10.44,16,1.20,0.40,1,0.80,0.40,4,1565.40,396.85,1,1543.80,42.91,10,43.70,5.08,10
761571,10,5.20,12.60,1,2.00,0.63,16,1.10,0.30,1,1723.30,561.03,2,2218.60,658.07,10,185.40,433.58,10
762560,10,5.80,9.75,16,1.30,0.46,1,1.40,0.49,1,2037.30,645.89,2,2184.40,668.13,10,50.50,22.46,10
763550,10,5.20,11.94,1,1.40,0.49,1,1.20,0.40,4,2053.70,677.34,2,2195.90,652.90,10,50.40,10.31,10
764513,10,4.30,8.59,16,2.10,0.30,16,0.80,0.60,1,1443.20,46.01,1,1756.50,384.75,10,59.10,20.65,10
765489,10,9.00,16.20,1,1.10,0.30,1,1.10,0.30,4,1524.30,428.36,2,1555.60,35.41,10,50.40,17.01,10
766440,10,3.90,9.04,1,1.00,0.00,1,1.00,0.45,4,1699.30,575.64,1,1918.60,588.04,10,197.20,443.94,10
767414,10,4.50,9.84,1,1.20,0.40,1,1.10,0.30,4,2206.30,632.20,1,2251.10,646.60,10,52.20,23.17,10
768401,10,4.30,9.57,1,1.90,0.30,16,1.20,0.40,4,2304.60,878.31,2,2283.60,597.63,10,48.80,16.82,10
769396,10,4.30,9.90,1,2.10,0.30,16,1.00,0.00,1,2129.50,1075.84,2,1629.30,102.80,10,194.10,444.65,10
770336,10,5.40,9.87,16,1.50,0.50,16,0.90,0.30,4,1630.10,358.05,2,1583.90,69.27,10,52.20,23.81,10
